val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.002683722989665112,63.76994620584379,0.009307576968923002,8292.105768042999
0.0010569703860125344,59.67102832429728,0.002184391222971427,5161.713022379484
0.0013982790836672874,49.23181041547447,0.0015845168892144696,3810.514147133963
0.0009045761794884019,41.812275893824875,0.00138339335577209,4500.918728442967
0.0009165009605300844,41.89163113490791,0.0013013872537396747,3489.738968882456
0.0009532857840512968,37.52810027493033,0.0012613618555030086,2722.673853615696
0.0007949287822220925,48.93858602973306,0.0012026809790695082,3131.468987540922
0.0008080665208992495,31.2972635014042,0.0011843043067107618,3248.873646912751
0.0008427799207745654,32.312248922457364,0.001161341195391422,3084.046974753924
0.0007301451884518573,29.409712552113138,0.0011302084326834062,2150.793610070639
